Jhakaas!,2018,56 min,6.1,"Comedy, Drama            ",kannada
Ashaant,1993,141 min,5.2,"Action, Thriller            ",kannada
Mathe Udbhava,2020,148 min,6.4,Comedy            ,kannada
Kavirathna Kaalidaasa,1983,189 min,8.2,"Drama, History, Musical            ",kannada
Bharjari,2017,157 min,5.2,"Action, Comedy, Romance            ",kannada
Odahuttidavaru,1994,140 min,8.1,"Drama, Family            ",kannada
Thallana,2013,109 min,6.9,Drama            ,kannada
Khakii,2020,114 min,5.2,Drama            ,kannada
Ugramm,2014,132 min,8.1,"Action, Crime, Drama            ",kannada
Un Samayal Arayil,2014,115 min,6.9,"Comedy, Drama, Family            ",kannada
Cheluvina Chittara,2007,150 min,6.6,"Crime, Drama, Romance            ",kannada
Suvarna Sundari,2019,120 min,3.6,"Action, Thriller            ",kannada
Victory 2,2018,150 min,6.5,Drama            ,kannada
Veerappa Nayaka,1999,157 min,8.4,Drama            ,kannada
Aa Karaala Ratri,2018,105 min,7.9,Thriller            ,kannada
Kalpana,2012,165 min,5.9,"Comedy, Horror            ",kannada
Chakravarthy,2017,156 min,7.3,"Action, Crime            ",kannada
Neenade Naa,2014,145 min,5.9,Drama            ,kannada
Inspector Vikram,2021,159 min,5.6,"Action, Comedy, Crime            ",kannada
Nanna Prakara,2019,115 min,6.4,"Crime, Mystery            ",kannada
Mangalavara Rajaadina,2021,110 min,8,Drama            ,kannada
Autograph Please,2006,122 min,7.1,Comedy            ,kannada
Thirupathi Express,2014,125 min,5.8,"Comedy, Drama, Romance            ",kannada
Namasthe Madam,2014,134 min,6.3,"Comedy, Drama, Romance            ",kannada
Sye,2005,127 min,6.8,"Action, Drama, Romance            ",kannada
Romeo,2012,155 min,7,"Comedy, Drama, Romance            ",kannada
Kattu Kathe,2018,159 min,8.2,Drama            ,kannada
Ondu Shikariya Kathe,2020,133 min,7.1,Thriller            ,kannada
Vaalee,2001,159 min,7,"Drama, Romance, Thriller            ",kannada
Puttaraju Lover of Shashikala,2018,125 min,5.6,Drama            ,kannada
Operation Jackpot,1968,146 min,7.9,"Action, Mystery            ",kannada
Humble Politician Nograj,2018,149 min,7,"Comedy, Drama            ",kannada
Jaali Baaru Mattu Poli Hudugaru,2017,121 min,5.1,Comedy            ,kannada
Aagantuka,1986,115 min,6.4,"Drama, Thriller            ",kannada
Pushpaka Vimana,2017,142 min,7.5,"Comedy, Drama, Family            ",kannada
The Ritual,1977,120 min,7.4,Drama            ,kannada
Kadamba,2004,156 min,7.1,Drama            ,kannada
Praana,2019,107 min,8.5,"Crime, Drama, Horror            ",kannada
Ranahedi,2019,149 min,8.9,Drama            ,kannada
Nam Duniya Nam Style,2013,136 min,5.7,"Drama, Romance            ",kannada
Ondu Ghanteya Kathe,2021,99 min,9.2,Comedy            ,kannada
Geetha,1981,124 min,8.6,Romance            ,kannada
Thithi,2015,123 min,8.2,Drama            ,kannada
Omme Nishyabda Omme Yudda,2019,120 min,9.1,Thriller            ,kannada
I Love You,2019,122 min,4.7,"Drama, Romance            ",kannada
Vijayaratha,2019,135 min,7.8,"History, Romance, Thriller            ",kannada
Harivu,2014,113 min,8.8,Drama            ,kannada
Mookajjiya Kanasugalu,2019,133 min,8.9,Drama            ,kannada
Tyson,2016,137 min,5.1,"Action, Drama            ",kannada
Seizer,2019,140 min,6.9,"Action, Romance, Thriller            ",kannada
What?,2014,46 min,7.4,Crime            ,kannada
Lungi,2019,115 min,8.6,Drama            ,kannada
Beladingala baale,1995,152 min,8.1,"Drama, Fantasy, Romance            ",kannada
Ramarjuna,2021,134 min,8.5,Action            ,kannada
Kartha,2021,155 min,9.4,Drama            ,kannada
Charminar,2013,147 min,6.9,Romance            ,kannada
Daari Tappida Maga,1975,138 min,7.6,"Crime, Drama            ",kannada
Ko Ko,2012,147 min,5.5,"Comedy, Drama, Romance            ",kannada
Nagarahavu,2016,142 min,5.6,Fantasy            ,kannada
Bhagyada Lakshmi Baramma,1986,156 min,8.3,"Comedy, Drama            ",kannada
Bhale Jodi,2016,133 min,5.9,"Comedy, Drama            ",kannada
ZERO Made in india,2016,157 min,9.1,Drama            ,kannada
Kendasampige,2015,99 min,8.3,"Romance, Thriller            ",kannada
Beautiful Manasugalu,2017,110 min,7.7,"Drama, Romance, Thriller            ",kannada
Googly,2013,136 min,7.4,"Comedy, Romance            ",kannada
Hudugaru,2011,148 min,7.4,"Action, Drama            ",kannada
Bettada Huli,1965,160 min,8.4,Musical            ,kannada
Dweepa,2002,132 min,7.4,Drama            ,kannada
Brihaspathi,2018,145 min,5.1,"Comedy, Drama            ",kannada
Halu Jenu,1982,157 min,7.9,Romance            ,kannada
Ramleela,2013,155 min,5.8,"Comedy, Drama            ",kannada
Sandhya Raga,1966,153 min,8.8,Musical            ,kannada
Satya Harishchandra,1943,119 min,7.6,Drama            ,kannada
Haggada Kone: End of the Rope,2014,102 min,8.4,Drama            ,kannada
Rambo,2012,144 min,6.3,"Comedy, Drama, Thriller            ",kannada
Atithi,2002,90 min,7.3,Drama            ,kannada
Minchagi Nee Baralu,2015,129 min,5.7,"Comedy, Drama, Romance            ",kannada
Odeya,2019,164 min,4.2,"Action, Drama            ",kannada
Sipaayi,2016,125 min,6.4,Action            ,kannada
Krishna Rukku,2016,135 min,6.1,"Drama, Romance            ",kannada
Shubha Mangala,1975,161 min,8.4,Drama            ,kannada
Navaratri,2019,102 min,3.7,Drama            ,kannada
"Blue Skies, Green Waters, Red Earth",2013,137 min,7.7,"Adventure, Drama, Romance            ",kannada
Dia,2020,137 min,8.1,"Drama, Romance            ",kannada
Shankar Guru,1978,179 min,8.7,Drama            ,kannada
Ondu Kshanadalli,2012,112 min,7.2,Drama            ,kannada
Jaga Mechida Maga,1972,153 min,8.2,Drama            ,kannada
Shivaji Surathkal,2020,124 min,7.4,Drama            ,kannada
Gombegala Love,2013,134 min,8.1,"Drama, Romance            ",kannada
Thipparaa Meesam (Telugu),2019,152 min,5.6,Romance            ,kannada
Belli,2014,147 min,4.8,"Action, Drama, Romance            ",kannada
Raju Kannada Medium,2018,159 min,7.2,"Comedy, Drama            ",kannada
6-5=2,2013,105 min,5.9,"Horror, Thriller            ",kannada
Anuttara,2018,86 min,8.5,Drama            ,kannada
Golmaal Radhakrishna,1990,131 min,7.6,Comedy            ,kannada
